house_id,price,image_folder_name,n_images,apartment_clean_idx,apartment_raw_idx,source_raw_idx,link,mapping_method
1001,200000,1001_satilir-3-otaqli-yeni-tikili-nerimanov-rayonu-28-may-metrosu-tebriz-kucesi-112,9,0,0,0,https://arenda.az/satilir-3-otaqli-yeni-tikili-nerimanov-rayonu-28-may-metrosu-tebriz-kucesi-112,exact_clean_to_raw
1002,800000,1002_satilir-4-otaqli-yeni-tikili-nerimanov-rayonu-genclik-metrosu-tebriz-kucesi-33,10,1,1,1,https://arenda.az/satilir-4-otaqli-yeni-tikili-nerimanov-rayonu-genclik-metrosu-tebriz-kucesi-33,exact_clean_to_raw
1003,210000,1003_satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-rayonu-eliesref-elizade-kucesi-qaya-qala-residence,15,2,2,2,https://arenda.az/satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-rayonu-eliesref-elizade-kucesi-qaya-qala-residence,exact_clean_to_raw
1005,149000,1005_satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-bileceri-qes-bileceri-q,15,3,3,3,https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-bileceri-qes-bileceri-q,exact_clean_to_raw
1006,45000,1006_satilir-1-otaqli-yeni-tikili-xirdalan-abseron-rayon-xirdalan-seheri-heyder-parkinin-yani,11,4,4,4,https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-abseron-rayon-xirdalan-seheri-heyder-parkinin-yani,exact_clean_to_raw
1007,109000,1007_satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-364,16,5,5,5,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-364,exact_clean_to_raw
1008,70500,1008_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-668,8,6,6,6,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-668,exact_clean_to_raw
1009,290000,1009_satilir-2-otaqli-yeni-tikili-nesimi-rayonu-mohsun-sanani-kuc,14,7,7,7,https://arenda.az/satilir-2-otaqli-yeni-tikili-nesimi-rayonu-mohsun-sanani-kuc,exact_clean_to_raw
1010,135000,1010_satilir-3-otaqli-yeni-tikili-xirdalan-h-aslanov-kucesi-7,20,8,8,8,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-aslanov-kucesi-7,exact_clean_to_raw
1011,54000,1011_satilir-1-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-92,7,9,9,9,https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-92,exact_clean_to_raw
1013,85000,1013_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-669,14,10,10,11,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-669,exact_clean_to_raw
1014,212000,1014_satilir-2-otaqli-yeni-tikili-nizami-rayonu-qara-qarayev-metrosu-ozbekistan-kucesi-7-282,10,11,11,12,https://arenda.az/satilir-2-otaqli-yeni-tikili-nizami-rayonu-qara-qarayev-metrosu-ozbekistan-kucesi-7-282,exact_clean_to_raw
1016,164000,1016_satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-ehmedli-qes-c-kerimov-kuc,8,12,12,14,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-ehmedli-qes-c-kerimov-kuc,exact_clean_to_raw
1018,85000,1018_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-670,8,13,13,16,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-670,exact_clean_to_raw
1019,129000,1019_satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-y-gunesli-qes-v-yasayis-massivi-1,22,14,14,17,https://arenda.az/satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-y-gunesli-qes-v-yasayis-massivi-1,exact_clean_to_raw
1021,320000,1021_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-esed-ehmedov-kucesi-68,11,15,15,19,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-esed-ehmedov-kucesi-68,exact_clean_to_raw
1022,73500,1022_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-681,9,16,16,20,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-681,exact_clean_to_raw
1024,104000,1024_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-natavan-hebibi-55-4,24,17,17,22,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-natavan-hebibi-55-4,exact_clean_to_raw
1025,150000,1025_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-dairesi-metro-avtovagzalin-cixisinda-resid-ismayilov-kuc,27,18,18,23,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-dairesi-metro-avtovagzalin-cixisinda-resid-ismayilov-kuc,exact_clean_to_raw
1026,140000,1026_satilir-2-otaqli-yeni-tikili-xezer-rayonu-buzovna-buzovna-merkez,7,19,19,24,https://arenda.az/satilir-2-otaqli-yeni-tikili-xezer-rayonu-buzovna-buzovna-merkez,exact_clean_to_raw
1027,68000,1027_satilir-2-otaqli-kohne-tikili-nizami-rayonu-neftciler-metrosu-8-ci-kilometr-qara-qarayev-prospekti-32,5,20,20,25,https://arenda.az/satilir-2-otaqli-kohne-tikili-nizami-rayonu-neftciler-metrosu-8-ci-kilometr-qara-qarayev-prospekti-32,exact_clean_to_raw
1030,148000,1030_satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-ehmedli-qes-lutvuzade-telnov-kuc-4,9,21,21,28,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-ehmedli-metrosu-ehmedli-ehmedli-qes-lutvuzade-telnov-kuc-4,exact_clean_to_raw
1038,92000,1038_satilir-2-otaqli-yeni-tikili-xirdalan-baki-sumqayit-yolu-106,11,22,27,36,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-baki-sumqayit-yolu-106,exact_clean_to_raw
