house_id,price,image_folder_name,n_images,house_clean_idx,house_raw_idx,source_raw_idx,link,mapping_method
1012,125000,1012_satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-2,19,0,0,10,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-2,exact_clean_to_raw
1015,145000,1015_satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-3,21,1,1,13,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-3,exact_clean_to_raw
1017,35000,1017_satilir-1-otaqli-heyet-evi-villa-abseron-rayonu-mehdiabad-179-un-yolu,14,2,2,15,https://arenda.az/satilir-1-otaqli-heyet-evi-villa-abseron-rayonu-mehdiabad-179-un-yolu,exact_clean_to_raw
1020,279000,1020_satilir-6-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-asef-zeynalli-66,29,3,3,18,https://arenda.az/satilir-6-otaqli-heyet-evi-villa-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-asef-zeynalli-66,exact_clean_to_raw
1023,75000,1023_satilir-6-otaqli-bag-evi-xizi-xizi-rayonu-altiagac-qesebesi,19,4,4,21,https://arenda.az/satilir-6-otaqli-bag-evi-xizi-xizi-rayonu-altiagac-qesebesi,group_assignment_clean_to_raw
1028,390000,1028_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-icra-hakimiyyetinin-arxasinda,19,5,5,26,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-icra-hakimiyyetinin-arxasinda,group_assignment_clean_to_raw
1029,480000,1029_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-234,25,6,6,27,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-234,group_assignment_clean_to_raw
1031,245000,1031_satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-233,12,7,7,29,https://arenda.az/satilir-4-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-233,group_assignment_clean_to_raw
1032,770000,1032_satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-80,33,8,8,30,https://arenda.az/satilir-5-otaqli-bag-evi-xezer-rayonu-merdekan-merdekan-qesebesinde-80,group_assignment_clean_to_raw
1054,117000,1054_satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-139,11,9,9,52,https://arenda.az/satilir-4-otaqli-heyet-evi-villa-xezer-rayonu-bine-qes-e-isazade-139,exact_clean_to_raw
1055,320000,1055_satilir-6-otaqli-bag-evi-sabuncu-rayonu-nardaran-qes-nardaran-sea-breez-deniz-teref-15-ci-dalan,13,10,10,53,https://arenda.az/satilir-6-otaqli-bag-evi-sabuncu-rayonu-nardaran-qes-nardaran-sea-breez-deniz-teref-15-ci-dalan,group_assignment_clean_to_raw
1056,145000,1056_satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin-1,12,11,11,54,https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-icraya-yaxin-1,exact_clean_to_raw
