house_id,price,image_folder_name,n_images,clean_idx,raw_idx,link
1001,200000,1001_satilir-3-otaqli-yeni-tikili-nerimanov-rayonu-28-may-metrosu-tebriz-kucesi-112,9,0,0,https://arenda.az/satilir-3-otaqli-yeni-tikili-nerimanov-rayonu-28-may-metrosu-tebriz-kucesi-112
1003,210000,1003_satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-rayonu-eliesref-elizade-kucesi-qaya-qala-residence,15,1,2,https://arenda.az/satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-rayonu-eliesref-elizade-kucesi-qaya-qala-residence
1005,149000,1005_satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-bileceri-qes-bileceri-q,15,2,3,https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-bileceri-qes-bileceri-q
1006,45000,1006_satilir-1-otaqli-yeni-tikili-xirdalan-abseron-rayon-xirdalan-seheri-heyder-parkinin-yani,11,3,4,https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-abseron-rayon-xirdalan-seheri-heyder-parkinin-yani
1007,109000,1007_satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-364,16,4,5,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-364
1008,70500,1008_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-668,8,5,6,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-668
1009,290000,1009_satilir-2-otaqli-yeni-tikili-nesimi-rayonu-mohsun-sanani-kuc,14,6,7,https://arenda.az/satilir-2-otaqli-yeni-tikili-nesimi-rayonu-mohsun-sanani-kuc
1010,135000,1010_satilir-3-otaqli-yeni-tikili-xirdalan-h-aslanov-kucesi-7,20,7,8,https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-aslanov-kucesi-7
1011,54000,1011_satilir-1-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-92,7,8,9,https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-92
1013,85000,1013_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-669,14,9,11,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-669
1014,212000,1014_satilir-2-otaqli-yeni-tikili-nizami-rayonu-qara-qarayev-metrosu-ozbekistan-kucesi-7-282,10,10,12,https://arenda.az/satilir-2-otaqli-yeni-tikili-nizami-rayonu-qara-qarayev-metrosu-ozbekistan-kucesi-7-282
1016,164000,1016_satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-ehmedli-qes-c-kerimov-kuc,8,11,14,https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-ehmedli-qes-c-kerimov-kuc
1018,85000,1018_satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-670,8,12,16,https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-670
1019,129000,1019_satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-y-gunesli-qes-v-yasayis-massivi-1,22,13,17,https://arenda.az/satilir-2-otaqli-kohne-tikili-suraxani-rayonu-yeni-gunesli-qes-y-gunesli-qes-v-yasayis-massivi-1
1021,320000,1021_satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-esed-ehmedov-kucesi-68,11,14,19,https://arenda.az/satilir-3-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-esed-ehmedov-kucesi-68
1022,73500,1022_satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-681,9,15,20,https://arenda.az/satilir-2-otaqli-yeni-tikili-abseron-rayonu-masazir-abseron-rayon-masazir-qesebesi-qurtulus-93-yasayis-kompleksi-681
1024,104000,1024_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-natavan-hebibi-55-4,24,16,22,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-natavan-hebibi-55-4
1025,150000,1025_satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-dairesi-metro-avtovagzalin-cixisinda-resid-ismayilov-kuc,27,17,23,https://arenda.az/satilir-3-otaqli-kohne-tikili-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-bileceri-dairesi-metro-avtovagzalin-cixisinda-resid-ismayilov-kuc
1026,140000,1026_satilir-2-otaqli-yeni-tikili-xezer-rayonu-buzovna-buzovna-merkez,7,18,24,https://arenda.az/satilir-2-otaqli-yeni-tikili-xezer-rayonu-buzovna-buzovna-merkez
