yes_no_binary__has_document,yes_no_binary__avtodayanacaq,yes_no_binary__balkon,yes_no_binary__duzelme,yes_no_binary__esyali,yes_no_binary__hovuz,yes_no_binary__internet,yes_no_binary__isiq,yes_no_binary__kabel_tv,yes_no_binary__kombi,yes_no_binary__kondisioner,yes_no_binary__lift,yes_no_binary__merkezi_qizdirici_sistem,yes_no_binary__metbex_mebeli,yes_no_binary__pvc_pencere,yes_no_binary__qaz,yes_no_binary__su,yes_no_binary__telefon,yes_no_binary__temirsiz,cat_ohe__cities_Bakı,cat_ohe__cities_Lənkəran,cat_ohe__cities_Qəbələ,cat_ohe__cities_Siyazən,cat_ohe__cities_Sumqayıt,cat_ohe__cities_Xırdalan,cat_freq__raion_freq,num__price,num__rooms,num__area_m2,num__land_area_sot,num__floor,num__log_area_m2_v3,cat_bin__area_q5_v3,num__log_land_area_sot_v3,num__log_floor_v3,cat_bin__rooms_q4_v3,num__area_per_room_v3,num__rooms_per_area_v3,num__area_x_rooms_v3,num__area_x_floor_v3,num__floor_over_log_area_v3,num__land_to_area_ratio_v3,num__land_x_area_v3,num__area_bin_x_rooms_bin_v3,num__amenity_count_v3,num__comfort_score_v3,num__utility_score_v3,num__comfort_x_rooms_v3,num__utility_per_area_v3,num__log_raion_freq_v3,num__raionfreq_x_logarea_v3
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07608695652173914,200000.0,3.0,65.0,0.0,5.0,4.189654742026425,1.0,0.0,1.791759469228055,2.0,21.66665944444685,0.04615384544378699,195.0,325.0,1.1934154756069846,0.0,0.0,12.0,12.0,7.0,5.0,21.0,0.07692307573964499,0.07333127308554963,0.3187780781976628
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07608695652173914,210000.0,2.0,54.0,0.0,12.0,4.007333185232471,0.0,0.0,2.5649493574615367,0.0,26.99998650000675,0.037037036351165994,108.0,648.0,2.9945094282931293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333127308554963,0.30490578583290545
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06634963768115942,149000.0,4.0,100.0,0.0,2.0,4.61512051684126,3.0,0.0,1.0986122886681098,3.0,24.99999375000156,0.0399999996,400.0,200.0,0.43335803677144896,0.0,0.0,33.0,2.0,0.0,0.0,0.0,0.0,0.06424126228662334,0.3062115741473028
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,45000.0,1.0,44.0,0.0,1.0,3.8066624897703196,0.0,0.0,0.6931471805599453,0.0,43.999956000044,0.022727272210743815,44.0,44.0,0.26269724200400396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1285939517605991,0.5223816731885901
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,109000.0,3.0,69.0,0.0,13.0,4.248495242049359,2.0,0.0,2.6390573296152584,2.0,22.99999233333589,0.0434782602394455,207.0,897.0,3.0599062019480927,0.0,0.0,22.0,10.0,5.0,5.0,15.0,0.07246376706574251,0.1285939517605991,0.5830136133790561
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,70500.0,2.0,73.0,0.0,4.0,4.30406509320417,2.0,0.0,1.6094379124341003,0.0,36.49998175000912,0.027397259898667675,146.0,292.0,0.9293537583718172,0.0,0.0,20.0,7.0,3.0,4.0,6.0,0.05479451979733535,0.1285939517605991,0.5906393674098114
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05593297101449275,290000.0,2.0,70.0,0.0,8.0,4.2626798770413155,2.0,0.0,2.1972245773362196,0.0,34.99998250000875,0.028571428163265314,140.0,560.0,1.876753205497457,0.0,0.0,20.0,15.0,7.0,6.0,14.0,0.08571428448979594,0.054424708851389614,0.23842435000661344
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,135000.0,3.0,100.0,0.0,9.0,4.61512051684126,3.0,0.0,2.302585092994046,2.0,33.333322222225924,0.029999999700000005,300.0,900.0,1.9501111654715204,0.0,0.0,32.0,12.0,6.0,5.0,18.0,0.0499999995,0.1285939517605991,0.633324962229575
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,54000.0,1.0,31.0,0.0,5.0,3.4657359027997265,0.0,0.0,1.791759469228055,0.0,30.999969000031,0.032258063475546335,31.0,155.0,1.4426946246152872,0.0,0.0,0.0,9.0,4.0,5.0,4.0,0.1612903173777317,0.1285939517605991,0.475596910574419
1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13722826086956522,85000.0,2.0,40.0,0.0,2.0,3.713572066704308,0.0,0.0,1.0986122886681098,0.0,19.999990000005,0.04999999875000003,80.0,80.0,0.5385648711026828,0.0,0.0,0.0,13.0,6.0,5.0,12.0,0.12499999687500009,0.1285939517605991,0.5096070363276292
