link,price,rooms,area_m2,land_area_sot,floor,has_document,address,avtodayanacaq,balkon,duzelme,esyali,hovuz,internet,isiq,kabel_tv,kombi,kondisioner,lift,merkezi_qizdirici_sistem,metbex_mebeli,pvc_pencere,qaz,su,telefon,temirli,temirsiz
https://arenda.az/satilir-3-otaqli-yeni-tikili-nerimanov-rayonu-28-may-metrosu-tebriz-kucesi-112,200000,3,65,,5,No,"Bakı, Nərimanov, metro 28 May",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-4-otaqli-yeni-tikili-nerimanov-rayonu-genclik-metrosu-tebriz-kucesi-33,800000,4,197,,9,Yes,"Bakı, Nərimanov, metro Gənclik",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-nerimanov-rayonu-neriman-nerimanov-metrosu-nerimanov-rayonu-eliesref-elizade-kucesi-qaya-qala-residence,210000,2,54,,12,No,"Bakı, Nərimanov, metro Nəriman Nərimanov",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-4-otaqli-kohne-tikili-bineqedi-rayonu-bileceri-qes-bileceri-q,149000,4,100,,2,Yes,"Bakı, Binəqədi, Biləcəri qəs.",No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-abseron-rayon-xirdalan-seheri-heyder-parkinin-yani,45000,1,44,,1,Yes,Xırdalan,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-364,109000,3,69,,13,No,Xırdalan,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-668,70500,2,73,,4,No,Xırdalan,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-nesimi-rayonu-mohsun-sanani-kuc,290000,2,70,,8,Yes,"Bakı, Nəsimi",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xirdalan-h-aslanov-kucesi-7,135000,3,100,,9,No,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-1-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-92,54000,1,31,,5,No,Xırdalan,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-2,125000,3,100,1.7,1,Yes,Xırdalan,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-xirdalan-h-eliyev-prospekti-669,85000,2,40,,2,Yes,Xırdalan,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-nizami-rayonu-qara-qarayev-metrosu-ozbekistan-kucesi-7-282,212000,2,67,,14,Yes,"Bakı, Nizami, metro Qara Qarayev",No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-xirdalan-20-yanvar-kucesi-3,145000,3,110,2.2,1,Yes,Xırdalan,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-3-otaqli-kohne-tikili-xetai-rayonu-hezi-aslanov-metrosu-ehmedli-ehmedli-qes-c-kerimov-kuc,164000,3,75,,4,Yes,"Bakı, Xətai, Əhmədli, metro Həzi Aslanov",Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
https://arenda.az/satilir-1-otaqli-heyet-evi-villa-abseron-rayonu-mehdiabad-179-un-yolu,35000,1,60,0.6,1,Yes,"Bakı, Abşeron, Mehdiabad",No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
