link,price,rooms,area_m2,land_area_sot,floor,has_document,address,temirli,qaz,su,isiq,avtodayanacaq,telefon,internet,pvc_pencere,balkon,kabel_tv,lift,kombi,metbex_mebeli,temirsiz,merkezi_qizdirici_sistem,kondisioner,esyali,hovuz,duzelme
https://arenda.az/satilir-4-otaqli-heyet-evi-villa-abseron-rayonu-masazir-azer-city-kuc,115000,4,130,1.3,2,Yes,"Bakı, Abşeron, Masazır",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-xetai-rayonu-hezi-aslanov-metrosu-kohne-gunesli-qes-general-sixlinski-kucesi-4,195500,3,86,,6,Yes,"Bakı, Xətai, Köhnə Günəşli qəs., metro Həzi Aslanov",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-yasamal-rayonu-insaatcilar-metrosu-yeni-yasamal-qes-yeni-yasamal-qesebesi-mehemmed-xiyabani-kucesi-62,55000,2,78,,4,Yes,"Bakı, Yasamal, Yeni Yasamal qəs., metro İnşaatçılar",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-7-otaqli-bag-evi-bineqedi-rayonu-avtovagzal-metrosu-bileceri-qes-baki-seheri-bineqedi-rayonu,200000,7,,4,2,No,"Bakı, Binəqədi, Biləcəri qəs., metro Avtovağzal",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-3-otaqli-yeni-tikili-abseron-rayonu-masazir-baki-seheri-abseron-rayonu-4,97000,3,92,,8,No,"Bakı, Abşeron, Masazır",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-1-otaqli-yeni-tikili-abseron-rayonu-masazir-azadliq-pr-60,57120,1,47.6,,5,Yes,"Bakı, Abşeron, Masazır",No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No
https://arenda.az/satilir-5-otaqli-heyet-evi-villa-xezer-rayonu-merdekan-28-may-2,495000,5,165,6.5,1,Yes,"Bakı, Xəzər, Mərdəkan",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
https://arenda.az/satilir-2-otaqli-yeni-tikili-sabuncu-rayonu-bakixanov-qes-genclik-kuc-29-c-m-94,169000,2,60,,2,Yes,"Bakı, Sabunçu, Bakıxanov qəs.",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
https://arenda.az/satilir-3-otaqli-heyet-evi-villa-sabuncu-rayonu-zabrat-qes-sabuncu-rayonu-zabrat-qesebesinde-83,72000,3,110,1.7,1,Yes,"Bakı, Sabunçu, Zabrat qəs.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
https://arenda.az/satilir-4-otaqli-heyet-evi-villa-sabuncu-rayonu-ramana-qes-sabuncu-rayonu-ramana-qesebesinde-19,85000,4,120,5,1,No,"Bakı, Sabunçu, Ramana qəs.",No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
